2022/07/16 11:03:21 {"callers":["/Volumes/2Tmac/github/mine/blogie/main.go: 115 main.main"],"level":"info","message":"This is a test message to test Info level.","time":1657940601265979000}
2022/07/16 18:58:42 {"callers":["/Volumes/2Tmac/github/mine/blogie/internal/routers/api/v1/tag.go: 34 github.com/i0Ek3/blogie/internal/routers/api/v1.Tag.List"],"level":"error","message":"app.BindAndValid errs: [State must be one of [0 1]]","time":1657969122121662000}
2022/07/16 19:07:26 {"callers":["/Volumes/2Tmac/github/mine/blogie/internal/routers/api/v1/tag.go: 34 github.com/i0Ek3/blogie/internal/routers/api/v1.Tag.List"],"level":"error","message":"app.BindAndValid errs: [State must be one of [0 1]]","time":1657969646192880000}
2022/07/17 14:42:15 {"callers":["/Volumes/2Tmac/github/mine/blogie/internal/routers/api/v1/tag.go: 72 github.com/i0Ek3/blogie/internal/routers/api/v1.Tag.Create"],"level":"error","message":"app.BindAndValid errs: [Name must be at least 3 characters in length]","time":1658040135678200000}
2022/07/17 14:45:42 {"callers":["/Volumes/2Tmac/github/mine/blogie/internal/routers/api/v1/tag.go: 104 github.com/i0Ek3/blogie/internal/routers/api/v1.Tag.Update"],"level":"error","message":"app.BindAndValid errs: [ID is a required field Name must be at least 3 characters in length State is a required field]","time":1658040342909142000}
2022/07/17 14:46:13 {"callers":["/Volumes/2Tmac/github/mine/blogie/internal/routers/api/v1/tag.go: 104 github.com/i0Ek3/blogie/internal/routers/api/v1.Tag.Update"],"level":"error","message":"app.BindAndValid errs: [Name must be at least 3 characters in length State is a required field]","time":1658040373231539000}
2022/07/17 14:47:23 {"callers":["/Volumes/2Tmac/github/mine/blogie/internal/routers/api/v1/tag.go: 104 github.com/i0Ek3/blogie/internal/routers/api/v1.Tag.Update"],"level":"error","message":"app.BindAndValid errs: [State is a required field]","time":1658040443792079000}
2022/07/17 14:47:38 {"callers":["/Volumes/2Tmac/github/mine/blogie/internal/routers/api/v1/tag.go: 104 github.com/i0Ek3/blogie/internal/routers/api/v1.Tag.Update"],"level":"error","message":"app.BindAndValid errs: [State is a required field]","time":1658040458530773000}
2022/07/17 14:48:23 {"callers":["/Volumes/2Tmac/github/mine/blogie/internal/routers/api/v1/tag.go: 104 github.com/i0Ek3/blogie/internal/routers/api/v1.Tag.Update"],"level":"error","message":"app.BindAndValid errs: [State is a required field]","time":1658040503820240000}
2022/07/17 14:55:26 {"callers":["/Volumes/2Tmac/github/mine/blogie/internal/routers/api/v1/tag.go: 104 github.com/i0Ek3/blogie/internal/routers/api/v1.Tag.Update"],"level":"error","message":"app.BindAndValid errs: [Name must be at least 3 characters in length State is a required field]","time":1658040926939169000}
2022/07/17 14:55:51 {"callers":["/Volumes/2Tmac/github/mine/blogie/internal/routers/api/v1/tag.go: 104 github.com/i0Ek3/blogie/internal/routers/api/v1.Tag.Update"],"level":"error","message":"app.BindAndValid errs: [Name must be at least 3 characters in length State is a required field]","time":1658040951794483000}
2022/07/17 14:56:49 {"callers":["/Volumes/2Tmac/github/mine/blogie/internal/routers/api/v1/tag.go: 104 github.com/i0Ek3/blogie/internal/routers/api/v1.Tag.Update"],"level":"error","message":"app.BindAndValid errs: [Name must be at least 3 characters in length State is a required field]","time":1658041009694401000}
2022/07/17 14:57:17 {"callers":["/Volumes/2Tmac/github/mine/blogie/internal/routers/api/v1/tag.go: 104 github.com/i0Ek3/blogie/internal/routers/api/v1.Tag.Update"],"level":"error","message":"app.BindAndValid errs: [Name must be at least 3 characters in length]","time":1658041037497144000}
2022/07/17 15:00:29 {"callers":["/Volumes/2Tmac/github/mine/blogie/internal/routers/api/v1/tag.go: 72 github.com/i0Ek3/blogie/internal/routers/api/v1.Tag.Create"],"level":"error","message":"app.BindAndValid errs: [Name must be at least 3 characters in length]","time":1658041229757880000}
2022/07/17 15:02:34 {"callers":["/Volumes/2Tmac/github/mine/blogie/internal/routers/api/v1/tag.go: 104 github.com/i0Ek3/blogie/internal/routers/api/v1.Tag.Update"],"level":"error","message":"app.BindAndValid errs: [State is a required field Name must be at least 3 characters in length]","time":1658041354002817000}
2022/07/17 15:07:23 {"callers":["/Volumes/2Tmac/github/mine/blogie/internal/routers/api/v1/tag.go: 104 github.com/i0Ek3/blogie/internal/routers/api/v1.Tag.Update"],"level":"error","message":"app.BindAndValid errs: [Name must be at least 3 characters in length State is a required field]","time":1658041643045762000}
2022/07/17 15:09:52 {"callers":["/Volumes/2Tmac/github/mine/blogie/internal/routers/api/v1/tag.go: 104 github.com/i0Ek3/blogie/internal/routers/api/v1.Tag.Update"],"level":"error","message":"app.BindAndValid errs: [Name must be at least 3 characters in length]","time":1658041792172410000}
2022/07/17 15:24:37 {"callers":["/Volumes/2Tmac/github/mine/blogie/internal/routers/api/v1/tag.go: 71 github.com/i0Ek3/blogie/internal/routers/api/v1.Tag.Create"],"level":"error","message":"app.BindAndValid errs: [Name长度必须至少为3个字符]","time":1658042677283837000}
